Player,Role,Specific_Role,Nationality,Bowling_Style,Auction_Price,Power_Index,Batting_SR,Batting_Avg,Bw_WPM,Bowling_Econ
R Shepherd,All-Rounder,All-Rounder,Overseas,Pace,15.0,100.0,254.0,25.4,0.5833333333333334,10.80722891566265
Naman Dhir,Batter,All-Rounder,Indian,Spin,11.1,74.2,173.4513274336283,28.0,0.0,8.49056603773585
N Burger,Bowler,Bowler,Overseas,Pace,1.4,9.65,0.0,0.0,1.4,7.885714285714286
Mustafizur Rahman,Bowler,Bowler,Overseas,Pace,1.3,8.98,50.0,1.0,1.3571428571428572,8.378378378378379
R Sai Kishore,Bowler,Bowler,Indian,Pace,1.2,8.3,112.5,6.0,1.3,8.788732394366198
V Suryavanshi,Batter,Middle Order,Indian,Spin,12.5,83.52,195.3488372093023,36.0,0.0,0.0
Urvil Patel,Batter,Middle Order,Indian,Spin,12.3,82.07,200.0,22.666666666666668,0.0,0.0
MS Dhoni,Batter,Middle Order,Indian,Pace,10.2,68.22,154.18060200668896,30.73333333333333,0.0,0.0
J Fraser-McGurk,Batter,Top Order,Overseas,Pace,11.9,79.63,189.6551724137931,27.5,0.0,0.0
A Mhatre,Batter,Top Order,Indian,Pace,11.8,78.97,183.206106870229,34.285714285714285,0.0,0.0
Priyansh Arya,Batter,Top Order,Indian,Pace,11.3,75.52,175.80645161290323,30.27777777777778,0.0,0.0
