Player,Matches,Bt_Runs,Bt_Balls,Bt_Fours,Bt_Sixes,Bt_Dismissals,Bw_Runs,Bw_Balls,Bw_Wickets,Batting_Avg,Batting_SR,Bowling_Avg,Bowling_Econ,Bowling_SR,Batting_Score,Bowling_Score,Total_Value_Score,Mock_Price_Cr,Role
Noor Ahmad,37,20,35,2,0,7,1023,827,48,2.857142857142857,57.14285714285714,21.3125,7.422007255139057,17.229166666666668,0.10205203730976925,0.6943112916788281,0.7963633289885974,10.5,Bowler
N Pooran,43,1381,803,106,102,30,0,0,0,46.03333333333333,171.98007471980074,0.0,0.0,0.0,0.7810823359383168,0.0,0.7810823359383168,10.3,Batter
N Rana,27,672,479,71,30,24,92,66,3,28.0,140.29227557411275,30.666666666666668,8.363636363636363,22.0,0.4873868669694166,0.2563671194705678,0.7437539864399844,9.8,All-Rounder
Ravi Bishnoi,39,37,50,1,2,6,1147,815,35,6.166666666666667,74.0,32.77142857142857,8.444171779141104,23.285714285714285,0.1447486499754541,0.5236026071101172,0.6683512570855713,8.8,All-Rounder
Tilak Varma,37,1102,776,84,58,26,14,11,0,42.38461538461539,142.01030927835052,14.0,7.636363636363637,0.0,0.6530497526528454,0.0,0.6530497526528454,8.6,Batter
TM Head,27,941,555,114,47,26,32,10,0,36.19230769230769,169.54954954954954,32.0,19.200000000000003,0.0,0.6300704819467706,0.0,0.6300704819467706,8.3,Batter
GD Phillips,5,39,22,2,4,5,20,18,1,7.8,177.27272727272728,20.0,6.666666666666667,18.0,0.30668199223456954,0.3086206896551724,0.615302681889742,8.1,Unknown
PWH de Silva,19,42,45,3,0,5,622,426,20,8.4,93.33333333333333,31.1,8.76056338028169,21.3,0.18390927835051546,0.3935358588311478,0.5774451371816632,7.6,All-Rounder
M Prasidh Krishna,15,0,0,0,0,0,477,364,25,0.0,0.0,19.08,7.862637362637363,14.56,0.0,0.49466449412656305,0.49466449412656305,6.5,Bowler
N Thushara,8,0,0,0,0,0,263,198,9,0.0,0.0,29.22222222222222,7.96969696969697,22.0,0.0,0.3207848600952049,0.3207848600952049,4.2,Bowler
JE Root,2,10,15,1,0,1,14,12,0,10.0,66.66666666666666,14.0,7.0,0.0,0.0,0.31333333333333335,0.31333333333333335,4.1,Unknown
S Sandeep Warrier,5,0,0,0,0,0,115,70,6,0.0,0.0,19.166666666666668,9.857142857142858,11.666666666666666,0.0,0.29069239189928847,0.29069239189928847,3.8,Bowler
K Kartikeya,12,9,12,1,0,2,295,212,7,4.5,75.0,42.142857142857146,8.349056603773585,30.285714285714285,0.0,0.2528875050345447,0.2528875050345447,3.3,Bowler
Aman Hakim Khan,9,110,106,7,6,8,0,0,0,13.75,103.77358490566037,0.0,0.0,0.0,0.23766086827650723,0.0,0.23766086827650723,3.1,Batter
Simarjeet Singh,8,3,7,0,0,2,251,143,7,1.5,42.857142857142854,35.857142857142854,10.531468531468532,20.428571428571427,0.0,0.23019164743302672,0.23019164743302672,3.0,Bowler
