Player,Role,Specific_Role,Nationality,Bowling_Style,Auction_Price,Power_Index,Batting_SR,Batting_Avg,Bw_WPM,Bowling_Econ
R Shepherd,All-Rounder,,,,15.0,100.0,254.0,25.4,0.5833333333333334,10.80722891566265
V Suryavanshi,Batter,,,,12.5,83.52,195.3488372093023,36.0,0.0,0.0
Urvil Patel,Batter,,,,12.3,82.07,200.0,22.666666666666668,0.0,0.0
J Fraser-McGurk,Batter,,,,11.9,79.63,189.6551724137931,27.5,0.0,0.0
A Mhatre,Batter,,,,11.8,78.97,183.206106870229,34.285714285714285,0.0,0.0
N Pooran,Batter,,,,11.7,77.81,171.98007471980074,46.03333333333333,0.0,0.0
SA Yadav,Batter,,,,11.6,77.06,168.7246963562753,47.628571428571426,0.0,0.0
H Klaasen,Batter,,,,11.4,75.85,166.54888103651356,45.61290322580645,0.0,0.0
Priyansh Arya,Batter,,,,11.3,75.52,175.80645161290323,30.27777777777778,0.0,0.0
T Stubbs,Batter,,,,11.3,75.4,161.87214611872147,50.642857142857146,0.8,11.027027027027028
JG Bethell,Batter,,,,11.2,74.88,171.7948717948718,33.5,0.0,0.0
TM Head,Batter,,,,11.2,74.73,169.54954954954954,36.19230769230769,0.0,19.200000000000003
PD Salt,Batter,,,,11.2,74.49,169.5024077046549,35.2,0.0,0.0
Naman Dhir,Batter,,,,11.1,74.2,173.4513274336283,28.0,0.0,8.49056603773585
Abhishek Sharma,All-Rounder,,,,11.1,74.01,175.15243902439025,30.236842105263158,0.26666666666666666,9.228260869565219
Shashank Singh,Batter,,,,11.1,73.87,152.05183585313176,58.666666666666664,0.5,10.666666666666666
V Nigam,All-Rounder,,,,11.1,73.79,173.17073170731706,28.4,0.9230769230769231,8.48360655737705
SS Iyer,Batter,,,,10.9,72.4,156.55737704918033,45.476190476190474,0.0,0.0
Vivrant Sharma,Batter,,,,10.9,72.38,140.81632653061226,69.0,0.0,9.714285714285715
Shubman Gill,Batter,,,,10.8,71.85,149.84756097560975,53.13513513513514,0.0,0.0
Ramandeep Singh,Batter,,,,10.8,71.67,172.0,19.11111111111111,0.0,13.5
M Shahrukh Khan,Batter,,,,10.7,71.3,164.41281138790035,28.875,0.3333333333333333,9.333333333333334
YBK Jaiswal,Batter,,,,10.6,70.99,155.07662835249045,41.51282051282051,0.0,0.0
KK Nair,Batter,,,,10.6,70.44,162.29508196721312,28.285714285714285,0.0,0.0
V Kohli,Batter,,,,10.5,69.9,141.85236768802227,56.583333333333336,0.0,0.0
JM Bairstow,Batter,,,,10.5,69.67,155.6910569105691,34.81818181818182,0.0,0.0
B Sai Sudharsan,Batter,,,,10.4,69.56,141.94659776055124,54.93333333333333,0.0,0.0
