Player,Role,Specific_Role,Nationality,Bowling_Style,Auction_Price,Power_Index,Batting_SR,Batting_Avg,Bw_WPM,Bowling_Econ
R Shepherd,all-rounder,all-rounder,overseas,pace,8.25,100.0,254.0,25.4,0.5833333333333334,10.80722891566265
V Suryavanshi,batter,middle order,indian,spin,6.875000000000001,83.52,195.3488372093023,36.0,0.0,0.0
Urvil Patel,batter,middle order,indian,spin,6.765000000000001,82.07,200.0,22.666666666666668,0.0,0.0
J Fraser-McGurk,batter,top order,overseas,pace,6.545000000000001,79.63,189.6551724137931,27.5,0.0,0.0
A Mhatre,batter,top order,indian,pace,6.490000000000001,78.97,183.206106870229,34.285714285714285,0.0,0.0
SA Yadav,batter,middle order,indian,spin,6.38,77.06,168.7246963562753,47.62857142857143,0.0,0.0
Priyansh Arya,batter,top order,indian,pace,6.215000000000001,75.52,175.80645161290323,30.27777777777778,0.0,0.0
Naman Dhir,batter,all-rounder,indian,spin,6.105,74.2,173.4513274336283,28.0,0.0,8.49056603773585
MR Marsh,all-rounder,all-rounder,overseas,pace,5.555000000000001,67.64,151.39146567717995,32.64,1.181818181818182,8.258064516129032
PJ Cummins,all-rounder,bowler,overseas,pace,5.335,64.95,148.4076433121019,25.88888888888889,1.1333333333333333,8.663755458515285
MK Lomror,batter,middle order,indian,pace,5.170000000000001,62.99,148.57142857142858,16.25,0.0,9.142857142857142
HH Pandya,all-rounder,all-rounder,indian,pace,5.06,61.57,141.36690647482015,23.818181818181817,0.7567567567567568,9.054009819967266
SN Thakur,all-rounder,all-rounder,indian,pace,5.005,60.94,144.76190476190476,15.2,0.9642857142857144,9.394594594594594
MA Agarwal,batter,middle order,indian,pace,4.675000000000001,57.0,125.0728862973761,25.23529411764705,0.0,0.0
R Ashwin,all-rounder,bowler,indian,spin,4.18,50.48,115.527950310559,12.4,0.8611111111111112,7.613744075829384
MJ Santner,all-rounder,all-rounder,overseas,pace,3.6850000000000005,44.88,100.0,11.2,0.7894736842105263,7.190348525469169
Ravi Bishnoi,all-rounder,bowler,indian,spin,2.8600000000000003,34.73,74.0,6.166666666666667,0.8974358974358975,8.444171779141104
MA Wood,bowler,bowler,overseas,pace,1.4850000000000003,17.86,220.00000000000003,11.0,2.75,7.2941176470588225
Noor Ahmad,bowler,bowler,overseas,spin,0.77,9.46,57.14285714285714,2.857142857142857,1.2972972972972974,7.422007255139057
R Sai Kishore,bowler,bowler,indian,pace,0.66,8.3,112.5,6.0,1.3,8.788732394366198
V Puthur,bowler,bowler,indian,pace,0.6050000000000001,7.66,0.0,0.0,1.2,8.876712328767123
DL Chahar,bowler,bowler,indian,spin,0.55,6.69,140.74074074074073,38.0,0.90625,8.048076923076923
JD Unadkat,bowler,bowler,indian,pace,0.49500000000000005,6.32,97.05882352941175,11.0,0.9047619047619048,8.472361809045227
Fazalhaq Farooqi,bowler,bowler,overseas,pace,0.165,2.32,42.85714285714285,3.0,0.4444444444444444,10.073684210526316
R Dhawan,bowler,bowler,indian,pace,0.11000000000000001,1.63,166.66666666666669,20.0,0.2,9.24590163934426
