Player,Current_Team
V Kohli,Royal Challengers Bengaluru (RCB)
Yash Dayal,Royal Challengers Bengaluru (RCB)
JJ Bumrah,Mumbai Indians (MI)
SA Yadav,Mumbai Indians (MI)
I Sharma,Mumbai Indians (MI)
Tilak Varma,Mumbai Indians (MI)
H Klaasen,Sunrisers Hyderabad (SRH)
PJ Cummins,Sunrisers Hyderabad (SRH)
Abhishek Sharma,Sunrisers Hyderabad (SRH)
TM Head,Sunrisers Hyderabad (SRH)
Nithish Kumar Reddy,Sunrisers Hyderabad (SRH)
RD Gaikwad,Chennai Super Kings (CSK)
RA Jadeja,Chennai Super Kings (CSK)
M Pathirana,Chennai Super Kings (CSK)
S Dube,Chennai Super Kings (CSK)
MS Dhoni,Chennai Super Kings (CSK)
AR Patel,Delhi Capitals (DC)
Kuldeep Yadav,Delhi Capitals (DC)
T Stubbs,Delhi Capitals (DC)
Abishek Porel,Delhi Capitals (DC)
RK Singh,Kolkata Knight Riders (KKR)
CV Varun,Kolkata Knight Riders (KKR)
AD Russell,Kolkata Knight Riders (KKR)
Harshit Rana,Kolkata Knight Riders (KKR)
Ramandeep Singh,Kolkata Knight Riders (KKR)
R Parag,Rajasthan Royals (RR)
Dhruv Jurel,Rajasthan Royals (RR)
SO Hetmyer,Rajasthan Royals (RR)
Sandeep Sharma,Rajasthan Royals (RR)
Rashid Khan,Gujarat Titans (GT)
Shubman Gill,Gujarat Titans (GT)
B Sai Sudharsan,Gujarat Titans (GT)
KL Rahul,Gujarat Titans (GT)
M Shahrukh Khan,Gujarat Titans (GT)
N Pooran,Lucknow Super Giants (LSG)
Ravi Bishnoi,Lucknow Super Giants (LSG)
SA Yadav,Lucknow Super Giants (LSG)
Mohsin Khan,Lucknow Super Giants (LSG)
A Badoni,Lucknow Super Giants (LSG)
Shashank Singh,Punjab Kings (PBKS)
RK Singh,Punjab Kings (PBKS)
JC Buttler,Gujarat Titans (GT)
SS Iyer,Punjab Kings (PBKS)
RR Pant,Lucknow Super Giants (LSG)
K Rabada,Gujarat Titans (GT)
